Time,Oxygen Level,Pulse Rate,Motion,O2 Reminder,PR Reminder
19:21:37 Jul 16 2025,90,78,41,0,0
19:21:39 Jul 16 2025,90,78,15,0,0
19:21:41 Jul 16 2025,90,78,13,0,0
19:21:43 Jul 16 2025,90,78,22,0,0
19:21:45 Jul 16 2025,90,78,11,0,0
19:21:47 Jul 16 2025,90,78,11,0,0
19:21:49 Jul 16 2025,90,78,14,0,0
19:21:51 Jul 16 2025,90,78,17,0,0
19:21:53 Jul 16 2025,93,78,9,0,0
19:21:55 Jul 16 2025,93,78,4,0,0
19:21:57 Jul 16 2025,91,75,11,0,0
19:21:59 Jul 16 2025,93,78,19,0,0
19:22:01 Jul 16 2025,92,77,12,0,0
19:22:03 Jul 16 2025,92,78,24,0,0
19:22:05 Jul 16 2025,93,77,6,0,0
19:22:07 Jul 16 2025,93,77,3,0,0
19:22:09 Jul 16 2025,93,77,7,0,0
19:22:11 Jul 16 2025,93,77,20,0,0
19:22:13 Jul 16 2025,93,77,18,0,0
19:22:15 Jul 16 2025,93,77,36,0,0
19:22:17 Jul 16 2025,93,77,2,0,0
19:22:19 Jul 16 2025,93,77,22,0,0
19:22:21 Jul 16 2025,93,77,10,0,0
19:22:23 Jul 16 2025,93,77,12,0,0
19:22:25 Jul 16 2025,93,77,28,0,0
19:22:27 Jul 16 2025,93,77,16,0,0
19:22:29 Jul 16 2025,93,77,3,0,0
19:22:31 Jul 16 2025,93,77,1,0,0
19:22:33 Jul 16 2025,93,77,1,0,0
19:22:35 Jul 16 2025,93,77,0,0,0
19:22:37 Jul 16 2025,93,77,18,0,0
19:22:39 Jul 16 2025,93,78,3,0,0
19:22:41 Jul 16 2025,93,77,8,0,0
19:22:43 Jul 16 2025,93,78,5,0,0
19:22:45 Jul 16 2025,93,78,5,0,0
19:22:47 Jul 16 2025,93,78,0,0,0
19:22:49 Jul 16 2025,93,79,0,0,0
19:22:51 Jul 16 2025,93,79,1,0,0
19:22:53 Jul 16 2025,93,80,2,0,0
19:22:55 Jul 16 2025,93,80,0,0,0
19:22:57 Jul 16 2025,93,81,21,0,0
19:22:59 Jul 16 2025,93,81,1,0,0
19:23:01 Jul 16 2025,93,81,0,0,0
19:23:03 Jul 16 2025,93,77,3,0,0
19:23:05 Jul 16 2025,93,74,1,0,0
19:23:07 Jul 16 2025,93,72,0,0,0
19:23:09 Jul 16 2025,93,70,0,0,0
19:23:11 Jul 16 2025,93,70,0,0,0
19:23:13 Jul 16 2025,93,69,0,0,0
19:23:15 Jul 16 2025,93,69,0,0,0
19:23:17 Jul 16 2025,93,69,0,0,0
19:23:19 Jul 16 2025,94,76,3,0,0
19:23:21 Jul 16 2025,95,79,1,0,0
19:23:23 Jul 16 2025,96,82,0,0,0
19:23:25 Jul 16 2025,97,84,1,0,0
19:23:27 Jul 16 2025,97,85,1,0,0
19:23:29 Jul 16 2025,97,85,6,0,0
19:23:31 Jul 16 2025,97,86,6,0,0
19:23:33 Jul 16 2025,97,88,2,0,0
19:23:35 Jul 16 2025,97,88,3,0,0
19:23:37 Jul 16 2025,97,89,4,0,0
19:23:39 Jul 16 2025,97,89,20,0,0
19:23:41 Jul 16 2025,97,89,0,0,0
19:23:43 Jul 16 2025,97,89,3,0,0
19:23:45 Jul 16 2025,97,89,4,0,0
19:23:47 Jul 16 2025,97,89,2,0,0
19:23:49 Jul 16 2025,97,89,3,0,0
19:23:51 Jul 16 2025,97,89,0,0,0
19:23:53 Jul 16 2025,97,89,0,0,0
19:23:55 Jul 16 2025,96,88,0,0,0
19:23:57 Jul 16 2025,96,87,0,0,0
19:23:59 Jul 16 2025,96,86,0,0,0
19:24:01 Jul 16 2025,95,85,0,0,0
19:24:03 Jul 16 2025,95,85,5,0,0
19:24:05 Jul 16 2025,96,85,1,0,0
19:24:07 Jul 16 2025,96,86,0,0,0
19:24:09 Jul 16 2025,96,86,0,0,0
19:24:11 Jul 16 2025,96,86,0,0,0
19:24:13 Jul 16 2025,96,85,0,0,0
19:24:15 Jul 16 2025,97,83,0,0,0
19:24:17 Jul 16 2025,97,83,0,0,0
19:24:19 Jul 16 2025,98,82,0,0,0
19:24:21 Jul 16 2025,98,82,0,0,0
19:24:23 Jul 16 2025,98,82,0,0,0
19:24:25 Jul 16 2025,98,83,1,0,0
19:24:27 Jul 16 2025,98,83,16,0,0
19:24:29 Jul 16 2025,97,83,6,0,0
19:24:31 Jul 16 2025,97,84,0,0,0
19:24:33 Jul 16 2025,97,85,0,0,0
19:24:35 Jul 16 2025,97,85,0,0,0
19:24:37 Jul 16 2025,97,86,9,0,0
19:24:39 Jul 16 2025,97,87,1,0,0
19:24:41 Jul 16 2025,97,87,0,0,0
19:24:43 Jul 16 2025,97,87,0,0,0
19:24:45 Jul 16 2025,97,88,0,0,0
19:24:47 Jul 16 2025,97,87,0,0,0
19:24:49 Jul 16 2025,97,87,0,0,0
19:24:51 Jul 16 2025,97,86,0,0,0
19:24:53 Jul 16 2025,97,86,0,0,0
19:24:55 Jul 16 2025,97,86,0,0,0
19:24:57 Jul 16 2025,97,86,0,0,0
19:24:59 Jul 16 2025,97,86,0,0,0
19:25:01 Jul 16 2025,97,85,13,0,0
19:25:03 Jul 16 2025,97,85,4,0,0
19:25:05 Jul 16 2025,98,84,0,0,0
19:25:07 Jul 16 2025,98,84,0,0,0
19:25:09 Jul 16 2025,98,84,2,0,0
19:25:11 Jul 16 2025,97,84,0,0,0
19:25:13 Jul 16 2025,96,84,0,0,0
19:25:15 Jul 16 2025,96,84,0,0,0
19:25:17 Jul 16 2025,95,85,0,0,0
19:25:19 Jul 16 2025,95,86,0,0,0
19:25:21 Jul 16 2025,95,86,0,0,0
19:25:23 Jul 16 2025,95,87,0,0,0
19:25:25 Jul 16 2025,95,87,0,0,0
19:25:27 Jul 16 2025,95,87,0,0,0
19:25:29 Jul 16 2025,95,87,0,0,0
19:25:31 Jul 16 2025,95,87,0,0,0
19:25:33 Jul 16 2025,95,86,0,0,0
19:25:35 Jul 16 2025,94,86,0,0,0
19:25:37 Jul 16 2025,94,86,0,0,0
19:25:39 Jul 16 2025,95,86,17,0,0
19:25:41 Jul 16 2025,95,86,13,0,0
19:25:43 Jul 16 2025,95,86,0,0,0
19:25:45 Jul 16 2025,95,86,0,0,0
19:25:47 Jul 16 2025,95,86,0,0,0
19:25:49 Jul 16 2025,95,86,0,0,0
19:25:51 Jul 16 2025,96,86,0,0,0
19:25:53 Jul 16 2025,96,86,0,0,0
19:25:55 Jul 16 2025,97,86,0,0,0
19:25:57 Jul 16 2025,97,86,0,0,0
19:25:59 Jul 16 2025,97,86,0,0,0
19:26:01 Jul 16 2025,97,85,0,0,0
19:26:03 Jul 16 2025,97,85,0,0,0
19:26:05 Jul 16 2025,97,85,0,0,0
19:26:07 Jul 16 2025,97,84,0,0,0
19:26:09 Jul 16 2025,97,83,0,0,0
19:26:11 Jul 16 2025,97,83,0,0,0
19:26:13 Jul 16 2025,97,84,0,0,0
19:26:15 Jul 16 2025,97,85,0,0,0
19:26:17 Jul 16 2025,97,85,0,0,0
19:26:19 Jul 16 2025,97,85,0,0,0
19:26:21 Jul 16 2025,97,85,0,0,0
19:26:23 Jul 16 2025,97,85,0,0,0
19:26:25 Jul 16 2025,97,85,1,0,0
19:26:27 Jul 16 2025,97,85,2,0,0
19:26:29 Jul 16 2025,97,85,5,0,0
19:26:31 Jul 16 2025,97,85,4,0,0
19:26:33 Jul 16 2025,98,85,5,0,0
19:26:35 Jul 16 2025,98,85,8,0,0
19:26:37 Jul 16 2025,98,85,6,0,0
19:26:39 Jul 16 2025,98,85,10,0,0
19:26:41 Jul 16 2025,98,85,21,0,0
19:26:43 Jul 16 2025,97,87,24,0,0
19:26:45 Jul 16 2025,97,88,6,0,0
19:26:47 Jul 16 2025,97,89,18,0,0
19:26:49 Jul 16 2025,97,89,10,0,0
19:26:51 Jul 16 2025,97,89,7,0,0
19:26:53 Jul 16 2025,97,89,6,0,0
19:26:55 Jul 16 2025,97,89,7,0,0
19:26:57 Jul 16 2025,97,89,5,0,0
19:26:59 Jul 16 2025,97,87,8,0,0
19:27:01 Jul 16 2025,97,87,12,0,0
19:27:03 Jul 16 2025,97,87,6,0,0
19:27:05 Jul 16 2025,97,87,8,0,0
19:27:07 Jul 16 2025,97,87,5,0,0
19:27:09 Jul 16 2025,97,87,6,0,0
19:27:11 Jul 16 2025,97,87,4,0,0
19:27:13 Jul 16 2025,97,86,1,0,0
19:27:15 Jul 16 2025,97,86,1,0,0
19:27:17 Jul 16 2025,97,87,6,0,0
19:27:19 Jul 16 2025,97,87,7,0,0
19:27:21 Jul 16 2025,97,86,5,0,0
19:27:23 Jul 16 2025,97,86,8,0,0
19:27:25 Jul 16 2025,97,85,4,0,0
19:27:27 Jul 16 2025,97,85,8,0,0
19:27:29 Jul 16 2025,97,84,4,0,0
19:27:31 Jul 16 2025,97,84,5,0,0
19:27:33 Jul 16 2025,97,82,6,0,0
19:27:35 Jul 16 2025,97,80,5,0,0
19:27:37 Jul 16 2025,97,78,4,0,0
19:27:39 Jul 16 2025,97,80,7,0,0
19:27:41 Jul 16 2025,97,79,3,0,0
19:27:43 Jul 16 2025,97,79,0,0,0
19:27:45 Jul 16 2025,97,79,0,0,0
19:27:47 Jul 16 2025,97,79,0,0,0
19:27:49 Jul 16 2025,97,80,3,0,0
19:27:51 Jul 16 2025,96,82,4,0,0
19:27:53 Jul 16 2025,96,83,2,0,0
19:27:55 Jul 16 2025,96,83,6,0,0
19:27:57 Jul 16 2025,96,83,5,0,0
19:27:59 Jul 16 2025,96,83,4,0,0
19:28:01 Jul 16 2025,96,83,8,0,0
19:28:03 Jul 16 2025,96,83,4,0,0
19:28:05 Jul 16 2025,96,83,11,0,0
19:28:07 Jul 16 2025,96,83,0,0,0
19:28:09 Jul 16 2025,96,83,0,0,0
19:28:11 Jul 16 2025,96,83,3,0,0
19:28:13 Jul 16 2025,96,83,0,0,0
19:28:15 Jul 16 2025,96,84,0,0,0
19:28:17 Jul 16 2025,96,86,0,0,0
19:28:19 Jul 16 2025,97,87,0,0,0
19:28:21 Jul 16 2025,97,88,0,0,0
19:28:23 Jul 16 2025,97,88,2,0,0
19:28:25 Jul 16 2025,97,86,0,0,0
19:28:27 Jul 16 2025,97,85,0,0,0
19:28:29 Jul 16 2025,97,85,0,0,0
19:28:31 Jul 16 2025,97,84,10,0,0
19:28:33 Jul 16 2025,97,84,1,0,0
19:28:35 Jul 16 2025,97,85,0,0,0
19:28:37 Jul 16 2025,97,85,0,0,0
19:28:39 Jul 16 2025,97,85,0,0,0
19:28:41 Jul 16 2025,96,84,0,0,0
19:28:43 Jul 16 2025,96,84,0,0,0
19:28:45 Jul 16 2025,95,84,0,0,0
19:28:47 Jul 16 2025,94,84,0,0,0
19:28:49 Jul 16 2025,94,85,0,0,0
19:28:51 Jul 16 2025,94,85,0,0,0
19:28:53 Jul 16 2025,93,86,0,0,0
19:28:55 Jul 16 2025,93,86,0,0,0
19:28:57 Jul 16 2025,94,86,1,0,0
19:28:59 Jul 16 2025,94,86,5,0,0
19:29:01 Jul 16 2025,94,86,10,0,0
19:29:03 Jul 16 2025,94,86,9,0,0
19:29:05 Jul 16 2025,94,86,14,0,0
19:29:07 Jul 16 2025,94,86,17,0,0
19:29:09 Jul 16 2025,94,86,20,0,0
19:29:11 Jul 16 2025,94,88,15,0,0
19:29:13 Jul 16 2025,94,87,31,0,0
19:29:15 Jul 16 2025,94,88,21,0,0
19:29:17 Jul 16 2025,94,89,30,0,0
19:29:19 Jul 16 2025,94,88,46,0,0
19:29:21 Jul 16 2025,94,88,20,0,0
19:29:23 Jul 16 2025,94,88,40,0,0
19:29:25 Jul 16 2025,94,88,18,0,0
19:29:27 Jul 16 2025,94,88,11,0,0
19:29:29 Jul 16 2025,94,88,31,0,0
19:29:31 Jul 16 2025,94,88,36,0,0
19:29:33 Jul 16 2025,94,89,39,0,0
19:29:35 Jul 16 2025,94,89,36,0,0
19:29:37 Jul 16 2025,94,92,27,0,0
19:29:39 Jul 16 2025,95,99,22,0,0
19:29:41 Jul 16 2025,96,107,21,0,0
19:29:43 Jul 16 2025,97,110,45,0,0
19:29:45 Jul 16 2025,97,112,33,0,0
19:29:47 Jul 16 2025,97,113,24,0,0
19:29:49 Jul 16 2025,97,113,24,0,0
19:29:51 Jul 16 2025,97,112,24,0,0
19:29:53 Jul 16 2025,97,112,19,0,0
19:29:55 Jul 16 2025,97,114,11,0,0
19:29:57 Jul 16 2025,97,116,19,0,0
19:29:59 Jul 16 2025,96,116,69,0,0
19:30:01 Jul 16 2025,95,116,28,0,0
19:30:03 Jul 16 2025,95,117,35,0,0
19:30:05 Jul 16 2025,94,116,24,0,0
19:30:07 Jul 16 2025,94,117,24,0,0
19:30:09 Jul 16 2025,93,117,35,0,0
19:30:11 Jul 16 2025,94,118,27,0,0
19:30:13 Jul 16 2025,94,118,28,0,0
19:30:15 Jul 16 2025,94,118,26,0,0
19:30:17 Jul 16 2025,94,119,61,0,0
19:30:19 Jul 16 2025,94,118,11,0,0
19:30:21 Jul 16 2025,94,118,10,0,0
19:30:23 Jul 16 2025,94,118,25,0,0
19:30:25 Jul 16 2025,94,118,32,0,0
19:30:27 Jul 16 2025,94,118,35,0,0
19:30:29 Jul 16 2025,95,118,79,0,0
19:30:31 Jul 16 2025,95,118,22,0,0
19:30:33 Jul 16 2025,96,117,51,0,0
19:30:35 Jul 16 2025,96,117,32,0,0
19:30:37 Jul 16 2025,96,116,30,0,0
19:30:39 Jul 16 2025,97,117,23,0,0
19:30:41 Jul 16 2025,97,117,11,0,0
19:30:43 Jul 16 2025,98,118,16,0,0
19:30:45 Jul 16 2025,98,119,15,0,0
19:30:47 Jul 16 2025,98,117,31,0,0
19:30:49 Jul 16 2025,98,118,23,0,0
19:30:51 Jul 16 2025,98,118,22,0,0
19:30:53 Jul 16 2025,98,117,37,0,0
19:30:55 Jul 16 2025,98,116,19,0,0
19:30:57 Jul 16 2025,98,116,24,0,0
19:30:59 Jul 16 2025,98,116,35,0,0
19:31:01 Jul 16 2025,98,115,27,0,0
19:31:03 Jul 16 2025,98,115,28,0,0
19:31:05 Jul 16 2025,98,115,24,0,0
19:31:07 Jul 16 2025,98,115,25,0,0
19:31:09 Jul 16 2025,98,115,32,0,0
19:31:11 Jul 16 2025,98,115,24,0,0
19:31:13 Jul 16 2025,98,115,33,0,0
19:31:15 Jul 16 2025,98,116,26,0,0
19:31:17 Jul 16 2025,97,117,25,0,0
19:31:19 Jul 16 2025,97,118,26,0,0
19:31:21 Jul 16 2025,97,118,24,0,0
19:31:23 Jul 16 2025,97,118,27,0,0
19:31:25 Jul 16 2025,98,119,33,0,0
19:31:27 Jul 16 2025,98,119,30,0,0
19:31:29 Jul 16 2025,98,118,27,0,0
19:31:31 Jul 16 2025,98,118,56,0,0
19:31:33 Jul 16 2025,98,118,29,0,0
19:31:35 Jul 16 2025,98,119,40,0,0
19:31:37 Jul 16 2025,98,118,37,0,0
19:31:39 Jul 16 2025,98,119,36,0,0
19:31:41 Jul 16 2025,98,120,24,0,0
19:31:43 Jul 16 2025,98,119,28,0,0
19:31:45 Jul 16 2025,98,118,23,0,0
19:31:47 Jul 16 2025,98,118,21,0,0
19:31:49 Jul 16 2025,98,118,34,0,0
19:31:51 Jul 16 2025,98,117,27,0,0
19:31:53 Jul 16 2025,98,116,18,0,0
19:31:55 Jul 16 2025,98,116,36,0,0
19:31:57 Jul 16 2025,98,117,36,0,0
19:31:59 Jul 16 2025,98,116,21,0,0
19:32:01 Jul 16 2025,98,116,36,0,0
19:32:03 Jul 16 2025,98,118,29,0,0
19:32:05 Jul 16 2025,98,118,30,0,0
19:32:07 Jul 16 2025,99,119,36,0,0
19:32:09 Jul 16 2025,99,118,103,0,0
19:32:11 Jul 16 2025,99,119,37,0,0
19:32:13 Jul 16 2025,99,118,35,0,0
19:32:15 Jul 16 2025,99,117,13,0,0
19:32:17 Jul 16 2025,99,119,25,0,0
19:32:19 Jul 16 2025,99,120,12,0,0
19:32:21 Jul 16 2025,99,120,23,0,0
19:32:23 Jul 16 2025,99,120,34,0,0
19:32:25 Jul 16 2025,99,120,29,0,0
19:32:27 Jul 16 2025,99,119,19,0,0
19:32:29 Jul 16 2025,99,119,60,0,0
19:32:31 Jul 16 2025,99,116,21,0,0
19:32:33 Jul 16 2025,99,116,37,0,0
19:32:35 Jul 16 2025,99,116,22,0,0
19:32:37 Jul 16 2025,99,117,22,0,0
19:32:39 Jul 16 2025,99,117,24,0,0
19:32:41 Jul 16 2025,99,116,43,0,0
19:32:43 Jul 16 2025,98,117,17,0,0
19:32:45 Jul 16 2025,98,116,22,0,0
19:32:47 Jul 16 2025,98,116,54,0,0
19:32:49 Jul 16 2025,98,117,20,0,0
19:32:51 Jul 16 2025,98,118,23,0,0
19:32:53 Jul 16 2025,98,117,26,0,0
19:32:55 Jul 16 2025,98,117,10,0,0
19:32:57 Jul 16 2025,96,117,18,0,0
19:32:59 Jul 16 2025,94,118,20,0,0
19:33:01 Jul 16 2025,91,117,15,0,0
19:33:03 Jul 16 2025,90,117,15,0,0
19:33:05 Jul 16 2025,90,117,40,0,0
19:33:07 Jul 16 2025,90,117,27,0,0
19:33:09 Jul 16 2025,90,117,15,0,0
19:33:11 Jul 16 2025,90,117,28,0,0
19:33:13 Jul 16 2025,90,117,11,0,0
19:33:15 Jul 16 2025,92,117,11,0,0
19:33:17 Jul 16 2025,93,117,18,0,0
19:33:19 Jul 16 2025,93,117,23,0,0
19:33:21 Jul 16 2025,94,117,30,0,0
19:33:23 Jul 16 2025,94,117,25,0,0
19:33:25 Jul 16 2025,94,117,23,0,0
19:33:27 Jul 16 2025,93,116,32,0,0
19:33:29 Jul 16 2025,93,116,38,0,0
19:33:31 Jul 16 2025,93,117,27,0,0
19:33:33 Jul 16 2025,93,117,13,0,0
19:33:35 Jul 16 2025,93,116,22,0,0
19:33:37 Jul 16 2025,93,115,21,0,0
19:33:39 Jul 16 2025,93,116,18,0,0
19:33:41 Jul 16 2025,93,116,22,0,0
19:33:43 Jul 16 2025,93,115,23,0,0
19:33:45 Jul 16 2025,93,116,12,0,0
19:33:47 Jul 16 2025,93,117,15,0,0
19:33:49 Jul 16 2025,93,117,27,0,0
19:33:51 Jul 16 2025,93,117,28,0,0
19:33:53 Jul 16 2025,93,117,23,0,0
19:33:55 Jul 16 2025,94,116,33,0,0
19:33:57 Jul 16 2025,95,116,27,0,0
19:33:59 Jul 16 2025,95,116,25,0,0
19:34:01 Jul 16 2025,96,116,29,0,0
19:34:03 Jul 16 2025,96,116,36,0,0
19:34:05 Jul 16 2025,96,116,24,0,0
19:34:07 Jul 16 2025,96,116,29,0,0
19:34:09 Jul 16 2025,96,116,25,0,0
19:34:11 Jul 16 2025,96,116,54,0,0
19:34:13 Jul 16 2025,97,116,33,0,0
19:34:15 Jul 16 2025,97,116,23,0,0
19:34:17 Jul 16 2025,97,116,29,0,0
19:34:19 Jul 16 2025,97,116,31,0,0
19:34:21 Jul 16 2025,97,117,30,0,0
19:34:23 Jul 16 2025,97,118,29,0,0
19:34:25 Jul 16 2025,97,116,25,0,0
19:34:27 Jul 16 2025,97,117,18,0,0
19:34:29 Jul 16 2025,97,118,33,0,0
19:34:31 Jul 16 2025,97,117,22,0,0
19:34:33 Jul 16 2025,97,117,29,0,0
19:34:35 Jul 16 2025,97,117,33,0,0
19:34:37 Jul 16 2025,97,117,32,0,0
19:34:39 Jul 16 2025,97,117,37,0,0
19:34:41 Jul 16 2025,98,116,38,0,0
19:34:43 Jul 16 2025,98,116,29,0,0
19:34:45 Jul 16 2025,98,116,39,0,0
19:34:47 Jul 16 2025,98,117,37,0,0
19:34:49 Jul 16 2025,98,116,30,0,0
19:34:51 Jul 16 2025,98,117,28,0,0
19:34:53 Jul 16 2025,98,118,35,0,0
19:34:55 Jul 16 2025,98,119,22,0,0
19:34:57 Jul 16 2025,97,119,30,0,0
19:34:59 Jul 16 2025,97,119,37,0,0
19:35:01 Jul 16 2025,97,118,27,0,0
19:35:03 Jul 16 2025,97,117,30,0,0
19:35:05 Jul 16 2025,97,117,38,0,0
19:35:07 Jul 16 2025,97,117,53,0,0
19:35:09 Jul 16 2025,97,117,27,0,0
19:35:11 Jul 16 2025,97,118,25,0,0
19:35:13 Jul 16 2025,97,117,25,0,0
19:35:15 Jul 16 2025,97,118,29,0,0
19:35:17 Jul 16 2025,97,118,25,0,0
19:35:19 Jul 16 2025,97,117,24,0,0
19:35:21 Jul 16 2025,97,117,29,0,0
19:35:23 Jul 16 2025,97,117,21,0,0
19:35:25 Jul 16 2025,97,117,20,0,0
19:35:27 Jul 16 2025,97,118,28,0,0
19:35:29 Jul 16 2025,97,117,47,0,0
19:35:31 Jul 16 2025,98,118,30,0,0
19:35:33 Jul 16 2025,98,118,41,0,0
19:35:35 Jul 16 2025,98,119,24,0,0
19:35:37 Jul 16 2025,98,119,35,0,0
19:35:39 Jul 16 2025,98,119,45,0,0
19:35:41 Jul 16 2025,97,119,32,0,0
19:35:43 Jul 16 2025,97,119,26,0,0
19:35:45 Jul 16 2025,97,119,36,0,0
19:35:47 Jul 16 2025,97,119,31,0,0
19:35:49 Jul 16 2025,97,119,35,0,0
19:35:51 Jul 16 2025,97,119,28,0,0
19:35:53 Jul 16 2025,97,119,33,0,0
19:35:55 Jul 16 2025,97,118,31,0,0
19:35:57 Jul 16 2025,98,118,31,0,0
19:35:59 Jul 16 2025,98,118,29,0,0
19:36:01 Jul 16 2025,98,118,25,0,0
19:36:03 Jul 16 2025,98,117,31,0,0
19:36:05 Jul 16 2025,98,118,29,0,0
19:36:07 Jul 16 2025,98,118,35,0,0
19:36:09 Jul 16 2025,98,117,28,0,0
19:36:11 Jul 16 2025,98,118,40,0,0
19:36:13 Jul 16 2025,98,117,27,0,0
19:36:15 Jul 16 2025,98,117,27,0,0
19:36:17 Jul 16 2025,98,117,33,0,0
19:36:19 Jul 16 2025,98,117,40,0,0
19:36:21 Jul 16 2025,98,116,26,0,0
19:36:23 Jul 16 2025,98,114,33,0,0
19:36:25 Jul 16 2025,98,114,25,0,0
19:36:27 Jul 16 2025,98,115,30,0,0
19:36:29 Jul 16 2025,98,116,33,0,0
19:36:31 Jul 16 2025,98,118,31,0,0
19:36:33 Jul 16 2025,98,119,24,0,0
19:36:35 Jul 16 2025,98,119,25,0,0
19:36:37 Jul 16 2025,98,118,37,0,0
19:36:39 Jul 16 2025,98,117,26,0,0
19:36:41 Jul 16 2025,98,117,17,0,0
19:36:43 Jul 16 2025,98,117,22,0,0
19:36:45 Jul 16 2025,98,117,22,0,0
19:36:47 Jul 16 2025,98,117,28,0,0
19:36:49 Jul 16 2025,98,117,8,0,0
19:36:51 Jul 16 2025,98,118,24,0,0
19:36:53 Jul 16 2025,97,117,24,0,0
19:36:55 Jul 16 2025,97,118,28,0,0
19:36:57 Jul 16 2025,98,116,24,0,0
19:36:59 Jul 16 2025,98,116,30,0,0
19:37:01 Jul 16 2025,98,116,25,0,0
19:37:03 Jul 16 2025,98,116,32,0,0
19:37:05 Jul 16 2025,98,115,25,0,0
19:37:07 Jul 16 2025,98,117,24,0,0
19:37:09 Jul 16 2025,98,117,31,0,0
19:37:11 Jul 16 2025,98,117,30,0,0
19:37:13 Jul 16 2025,97,118,27,0,0
19:37:15 Jul 16 2025,97,118,43,0,0
19:37:17 Jul 16 2025,97,118,39,0,0
